FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cf,4000832,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,Manowar Island,-16.23,139.25,5/7/2010,5.5,RLS,,,,,0,,Chordata,Actinopterygii,Perciformes,Latidae,Psammoperca waigiensis,Psammoperca waigiensis,7.5,1,7.7949,POINT (139.25 -16.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ce,4000833,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,Manowar Island,-16.23,139.25,5/7/2010,6,RLS,,,,,0,,Chordata,Actinopterygii,Perciformes,Latidae,Psammoperca waigiensis,Psammoperca waigiensis,12.5,1,36.4581,POINT (139.25 -16.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cd,4000833,Australia,Queensland,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Carpentaria,GC9,Manowar Island,-16.23,139.25,5/7/2010,6,RLS,,,,,0,,Chordata,Actinopterygii,Perciformes,Latidae,Psammoperca waigiensis,Psammoperca waigiensis,15,1,63.2298,POINT (139.25 -16.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cc,912343820,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,2.3,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Labridae,Cheilinus fasciatus,Cheilinus fasciatus,15,1,81.8566,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63cb,912343820,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,2.3,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Rhinecanthus rectangulus,Rhinecanthus rectangulus,25,1,380.3246,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ca,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Lethrinidae,Lethrinus olivaceus,Lethrinus olivaceus,40,1,680.3077,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c9,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf vaigiensis,Abudefduf vaigiensis,7.5,10,161.5027,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c8,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scaridae,Chlorurus microrhinos,Chlorurus microrhinos,40,1,881.642,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c7,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Neotrygon kuhlii,Neotrygon kuhlii,30,1,874.5698,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c6,912343823,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT103,Norruum Islet,-11.23,136.69,10/8/2013,6,RLS,8,11:00:00,,,0,,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Neotrygon kuhlii,Neotrygon kuhlii,35,1,1260.8639,POINT (136.69000244140625 -11.229999542236328)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c5,912343824,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,4,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Caesionidae,Caesio cuning,Caesio cuning,20,1,249.9089,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c4,912343824,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,TS1,Booby Island,-10.61,141.92,5/8/2013,4,RLS,4,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chelmon marginalis,Chelmon marginalis,10,1,38.7557,POINT (141.9199981689453 -10.609999656677246)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c3,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scaridae,Bolbometopon muricatum,Bolbometopon muricatum,100,2,24803.754,POINT (136.69000244140625 -11.220000267028809)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c2,912343826,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3.5,RLS,10,9:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scaridae,Chlorurus microrhinos,Chlorurus microrhinos,50,2,3487.863,POINT (136.69000244140625 -11.220000267028809)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c1,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,0,,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatidae spp.,Dasyatid spp.,62.5,1,1350.1256,POINT (136.69000244140625 -11.220000267028809)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63c0,912343830,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Wessel,NT102,Burston Bay,-11.22,136.69,10/8/2013,3,RLS,10,9:00:00,,,0,,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia mydas,Chelonia mydas,50,1,,POINT (136.69000244140625 -11.220000267028809)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63bf,912345734,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT20,Money Shoal NW,-10.32,132.71,20/10/2015,8,RLS,10,13:00:00,,,0,,Chordata,Actinopterygii,Tetraodontiformes,Diodontidae,Diodon hystrix,Diodon hystrix,40,1,1855.5742,POINT (132.7100067138672 -10.319999694824219)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63be,912345739,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT22,Money Shoal E,-10.32,132.71,21/10/2015,11,RLS,12,10:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Pomacanthus imperator,Pomacanthus imperator,25,1,641.6669,POINT (132.7100067138672 -10.319999694824219)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63bd,912345739,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT22,Money Shoal E,-10.32,132.71,21/10/2015,11,RLS,12,10:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Plectropomus leopardus,Plectropomus leopardus,40,1,679.5635,POINT (132.7100067138672 -10.319999694824219)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63bc,912345740,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT23,Money Shoal SE,-10.33,132.71,21/10/2015,16,RLS,11,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus polyphekadion,Epinephelus polyphekadion,75,1,4866.292,POINT (132.7100067138672 -10.329999923706055)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63bb,912345741,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT24,Bramble Rocks,-10.89,132.78,22/10/2015,8,RLS,5,10:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes filamentosus,Cirripectes filamentosus,5,1,1.6385,POINT (132.77999877929688 -10.890000343322754)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ba,912345741,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT24,Bramble Rocks,-10.89,132.78,22/10/2015,8,RLS,5,10:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Blenniidae,Ecsenius bicolor,Ecsenius bicolor,2.5,1,0.1861,POINT (132.77999877929688 -10.890000343322754)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b9,912345741,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT24,Bramble Rocks,-10.89,132.78,22/10/2015,8,RLS,5,10:00:00,,,0,,Mollusca,Gastropoda,Neogastropoda,Muricidae,Chicoreus brunneus,Chicoreus brunneus,0,1,,POINT (132.77999877929688 -10.890000343322754)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b8,912345742,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT24,Bramble Rocks,-10.89,132.78,22/10/2015,6,RLS,5,10:00:00,,,0,,Platyhelminthes,Turbellaria,Polycladida,Pseudocerotidae,Pseudoceros duplicinctus,Pseudoceros duplicinctus,0,1,,POINT (132.77999877929688 -10.890000343322754)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b7,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Caesionidae,Caesio cuning,Caesio cuning,12.5,20,1293.0913,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b6,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Caesionidae,Caesio cuning,Caesio cuning,15,60,6789.4854,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b5,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Caesionidae,Caesio cuning,Caesio cuning,20,20,4998.1777,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b4,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Labridae,Anampses lennardi,Anampses lennardi,15,1,119.776,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b3,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Cromileptes altivelis,Serranid spp.,35,1,619.8708,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b2,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelus malabaricus,Epinephelus malabaricus,87.5,1,8022.731,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b1,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Plectropomus maculatus,Plectropomus maculatus,35,1,521.3262,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63b0,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Plectropomus maculatus,Plectropomus maculatus,40,3,1992.2933,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63af,912345743,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT25,New Year Island anchorage,-10.91,133.02,22/10/2015,6,RLS,8,15:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Plectropomus maculatus,Plectropomus maculatus,50,2,2645.0989,POINT (133.02000427246094 -10.90999984741211)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ae,912345745,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,5,RLS,10,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Carangidae,Caranx ignobilis,Caranx ignobilis,62.5,6,17344.914,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ad,912345745,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,5,RLS,10,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Ephippidae,Platax teira,Platax teira,35,1,810.5651,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ac,912345745,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,5,RLS,10,11:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Labridae,Choerodon schoenleinii,Choerodon schoenleinii,50,1,1518.4883,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63ab,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Carangidae,Carangoides fulvoguttatus,Carangoides fulvoguttatus,62.5,3,5656.691,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63aa,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Carangidae,Scomberoides lysan,Scomberoides lysan,75,2,4789.976,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a9,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Haemulidae,Plectorhinchus multivittatus,Plectorhinchus multivittatus,35,1,644.7495,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a8,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Scombridae,Grammatorcynus bicarinatus,Grammatorcynus bicarinatus,40,1,552.3715,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a7,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Cephalopholis cyanostigma,Cephalopholis cyanostigma,20,1,183.2692,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a6,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Serranidae,Plectropomus maculatus,Plectropomus maculatus,40,2,1328.1956,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a5,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Siganidae,Siganus lineatus,Siganus lineatus,30,2,943.6736,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a4,912345746,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT26,New Year Island East,-10.9,133.03,23/10/2015,7,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena barracuda,Sphyraena barracuda,87.5,1,3277.644,POINT (133.02999877929688 -10.899999618530273)
ep_m0_off_transect_sighting_public_data.fid--462e4c35_197a05f666f_-63a3,912345748,Australia,Northern Territory,Arnhem Coast to Gulf of Carpenteria,Central Indo-Pacific,Arafura,NT28,New Year Island light,-10.9,133.03,24/10/2015,3,RLS,10,14:00:00,,,0,,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus strigilliceps,Cryptocentrus strigilliceps,5,2,2.9209,POINT (133.02999877929688 -10.899999618530273)
